column_name,is_nullable,data_type
event_date,YES,STRING
event_timestamp,YES,INT64
event_name,YES,STRING
event_value_in_usd,YES,FLOAT64
user_id,YES,STRING
user_pseudo_id,YES,STRING
user_first_touch_timestamp,YES,INT64
category,YES,STRING
mobile_model_name,YES,STRING
mobile_brand_name,YES,STRING
operating_system,YES,STRING
language,YES,STRING
is_limited_ad_tracking,YES,STRING
browser,YES,STRING
browser_version,YES,STRING
country,YES,STRING
medium,YES,STRING
name,YES,STRING
traffic_source,YES,STRING
platform,YES,STRING
total_item_quantity,YES,INT64
purchase_revenue_in_usd,YES,FLOAT64
refund_value_in_usd,YES,FLOAT64
shipping_value_in_usd,YES,FLOAT64
tax_value_in_usd,YES,FLOAT64
transaction_id,YES,STRING
page_title,YES,STRING
page_location,YES,STRING
source,YES,STRING
page_referrer,YES,STRING
campaign,YES,STRING